name,section,title,description,fileName,,
Florence Cassel,Agrifood Technology Faculty,Professor,"Dr. Cassel Sharma joined the the department in 2012, and her research focuses on optimizing water use efficiency through low and deficit irrigation practices, improving irrigation scheduling, and utilizing remote sensing techniques for water resources management, crop water use, and soil salinity assessment. She serves as assistant director of research of the campus Center for Irrigation Technology, and received the Jordan College's Outstanding Research and Scholarly Activity Award in 2009. She also received the Irrigation E3 Leader Award from the Irrigation Association in 2015 and the Provost's Award for Promising New Faculty in 2016.",Florence_Cassel.jpg,,Cassel
Dave Goorahoo,Agrifood Technology Faculty, Professor,,Dave_Goorahoo.jpg,,Goorahoo
Yuanyuan Xie,Agrifood Technology Faculty, Professor,,Yuanyuan_Xie.jpg,,Xie
Jiaochen Liang,Agrifood Technology Faculty, Professor,,Jiaochen_Liang.jpg,,Liang
Walter Mizuno,Agrifood Technology Faculty, Lecturer,,Walter_Mizuno.jpg,,Mizuno
Xuan Zhang,Agrifood Technology Faculty, Assistant Professor,,Xuan_Zhang.jpg,,Zhang
Guilia Marino,Agrifood Technology Faculty, Assistant Professor,,Giulia_Marino.jpg,,Marino
Gerardo Diaz,Agrifood Technology Faculty,Professor,"Renewable energy conversion, dynamic simulation and control of thermal systems, biomass gasification, thermal and non-thermal plasma applications to energy generation and water conservation, optimization of thermal systems, solar thermal systems." ,Gerardo_Diaz.jpg,,Diaz
Safeeq Khan,Agrifood Technology Faculty,Professor,"Dr. Safeeq Khan is a Cooperative Extension Specialist in Water and Watershed Sciences at the University of California Division of Agriculture and Natural Resource. He is also an Adjunct Professor in Civil and Environmental Engineering at the University of California, Merced. Dr. Khan is an agricultural engineer by training with research and extension interests in hydrology and watershed systems.",Safeeq_Khan.jpg,,Khan
Abel Chuang,Agrifood Technology Faculty, Assistant Professor,,Abel_Chuang.jpg,,Chuang
Jennifer Alvarez,Graduate Students,Graduate Student,"",Jennifer_Alvarez.jpg,,Alvarez
Lorenzo Booth,Graduate Students,Graduate Student,Lorenzo Booth is a PhD student in Electrical Engineering & Computer Science working under Prof. Stefano Carpin. He holds a Bachelor of Science in Environmental Engineering and a Master of Science in Environmental Systems from UC Merced. He is interested in the sustainable management of natural resources and applications of robotics methods in environmental and agricultural science. He is currently working on algorithms and methodologies for robotic surveying and modeling of agricultural environments",Lorenzo_Booth.jpg,,Booth
Shiang Cao,Graduate Students,Graduate Student,"PhD Advisor for the graduate student awardee in the department of Mechanical Engineering at University of California, Merced. ",Shiang_Cao.JPG,,Cao
Mohsen Farajijalal,Graduate Students,Graduate Student,"I am Mohsen Farajijalal, a doctoral candidate in Mechanical Engineering at UC Merced. I have obtained both my bachelor's and master's degrees in Aerospace Engineering from Sharif University of Technology, the first university in Iran. Furthermore, my entrepreneurial endeavors have led me to establish a company specializing in the design and manufacture of agricultural equipment since 2015, with a specific emphasis on agricultural drones. It is worth noting that I hold a patent in this field, and presently, I serve as a research assistant in the field of Smart Agricultural Machinery in California",Mohsen_Farajijalal.jpg,,Farajijalal
Nicolas Goncalves,Graduate Students,Graduate Student,"PhD Advisor for the graduate student awardee in the department of Management of Complex Systems at University of California, Merced. ",Nicolas_Goncalves.jpg,,Goncalves
Shahriyar Hekmat,Graduate Students,Graduate Student,"PhD Advisor for the graduate student awardee in the department of Mechanical Engineering at University of California, Merced. ",Shahriyar_Hekmat.jpg,,Hekmat
Zachary Malone,Graduate Students,Graduate Student,"My name is Zach Malone, and I am a PhD candidate in the Ryals lab interested in using compost on urban soils to improve soil health and increase carbon storage. In this project, I will be conducting a life cycle assessment of the system and probe the public health impacts by measuring NOx and ammonia soil emissions. I also received my B.S. in Earth System Science from UC Merced where I also worked as a Wilderness Education Ranger for Yosemite National Park. In my free time I like to garden, hike, and cheer for NorCal sports teams",Zachary_Malone.jpg,,Malone
Adam Weingram ,Graduate Students,Graduate Student,"PhD Advisor for the graduate student awardee in the department of Life and Environmental Sciences at University of California, Merced. ",Adam_Weingram.jpg,,Weingram
Kang Yang ,Graduate Students,Graduate Student,"I am a fourth-year PhD candidate in the Department of Electrical Engineering and Computer Science, under the guidance of Professor Wan Du. My research focuses on the Internet of Things, wireless and mobile networking. For additional information, please refer to my website.",Kang_Yang.jpg,,Yang
Lucia Barboza,Student Intern Team, Student Intern,"Lucia is an undergraduate in Computer Science and Engineering and serves as a Web Development Intern. Her interests are software engineering and cybersecurity. Outside of her studies, Lucia enjoys gaming and exploring coffee shops.",Lucia_Barboza.jpg 
Michael Tapia,Student Intern Team,Student Intern,"Michael is currently an undergraduate Computer Science and Engineering major. He is a part of the Web Development team, where he is currently an intern. His current interests are web development and software engineering.",Michael_Tapia.jpg,,
Arav Gupta,Student Intern Team,Student Intern," Arav Gupta is presently pursuing his undergraduate degree in B.S Computer Science and Engineering. Arav holds the position of a web development intern and has developed a keen interest in UI/UX design.",Arav_Gupta.jpg,, Gupta
Aren Aguila ,Alumni,Student,"Aren Aguila was an undergraduate B.S Computer Science and Engineering major. Aren was a web development intern and is interested in UI/UX design as well as 3D modelling. In his free time, he enjoys cooking, drawing, as well as watching movies and shows.",Aren_Aguila.jpg,,Aguila
Alonso Ortiz,Alumni,Student," Alonso Ortiz is a recent graduate from UC Merced, earning his bachelors in the field of Computer Science and Engineering. He works as part of the web development team to create engaging digital experiences for the web.",Alonso_Ortiz.jpg,,Ortiz
Sean James-Hickey,Alumni,Student," My name is Sean James-Hickey and I am currently an undergraduate pursuing the Global Arts Study Program. As a student, I pursue illustration, art history and its intersection with the social sciences. As an intern, I use my multimedia skills to create short form edited content, document live events and create company illustrations. ",Sean_James_Hickey.jpg,, James-Hickey
